code,name,date,mkt_rp,rf,mkt_pf,size_rp,bm_rp,div_rp,pe_rp
Y9999,上市,2001-08,3.5995,3.6,3.8995,1.5327,22.9134,6.5097,7.6008
Y9999,上市,2001-07,-10.8541,3.85,-10.5333,0.8998,-5.1134,-1.2226,-9.982
Y9999,上市,2001-06,-2.8955,4.05,-2.558,-2.8321,-0.2838,-2.9355,-0.3518
Y9999,上市,2001-05,-6.2388,4.05,-5.9013,-6.4074,-3.1344,-5.6099,0.6236
Y9999,上市,2001-04,-8.1683,4.3,-7.81,-1.5279,-4.5381,5.3393,-1.4408
Y9999,上市,2001-03,1.5676,4.65,1.9551,4.4222,-12.0709,-9.1937,-2.7472
Y9999,上市,2001-02,-4.5102,4.8,-4.1102,13.5146,5.2036,-4.8455,2.574
Y9999,上市,2001-01,26.7104,5.0,27.1271,-7.2074,2.6462,-16.9045,-9.5229
Y9999,上市,2000-12,-8.6107,5.0,-8.194,5.0064,12.378,26.132,12.6426
Y9999,上市,2000-11,-5.5841,5.0,-5.1674,-5.1051,-6.0377,5.0332,-3.4395
Y9999,上市,2000-10,-10.4285,4.9,-10.0202,-1.8835,4.6932,-0.8681,7.5359
Y9999,上市,2000-09,-19.187,4.9,-18.7787,1.5153,3.9207,7.7982,7.3534
Y9999,上市,2000-08,-6.6582,5.0,-6.2415,-8.5065,-16.8098,-2.304,-9.7282
Y9999,上市,2000-07,-2.3137,5.0,-1.897,-3.87,6.6097,15.1887,11.0528
Y9999,上市,2000-06,-7.6795,5.0,-7.2628,-0.5068,-1.4194,1.5623,-1.1021
Y9999,上市,2000-05,1.5423,5.0,1.959,-5.5745,-1.5431,3.3421,-0.4459
Y9999,上市,2000-04,-11.5715,5.0,-11.1548,3.511,-6.3736,2.6349,2.4411
Y9999,上市,2000-03,3.2055,5.0,3.6222,0.1431,-10.3686,-3.4673,-4.5293
Y9999,上市,2000-02,-3.6038,5.0,-3.1871,4.3646,1.4219,-2.2863,-0.6132
Y9999,上市,2000-01,15.2598,5.0,15.6765,9.6333,21.395,10.5792,7.6969
